,ID,Title,DOI,find my code|mentions,link to my code|mentions,is my code|mentions
0,33540076,A tongue features fusion approach to predicting prediabetes and diabetes with machine learning.,10.1016/j.jbi.2021.103693,0,0,0
1,33539308,Using Automated Machine Learning to Predict the Mortality of Patients With COVID-19: Prediction Model Development Study.,10.2196/23458,0,0,0
2,33539291,Predicting Machine Learning Pipeline Runtimes in the Context of Automated Machine Learning.,10.1109/TPAMI.2021.3056950,0,0,0
3,33539249,Predicting postoperative liver cancer death outcomes with machine learning.,10.1080/03007995.2021.1885361,0,0,0
4,33538696,Machine Learning-Based Early Warning Systems for Clinical Deterioration: Systematic Scoping Review.,10.2196/25187,0,0,0
5,33538601,Physically Compatible Machine Learning Study on the Pt-Ni Nanoclusters.,10.1021/acs.jpclett.0c03600,0,0,0
6,33538294,Machine learning application for patient stratification and phenotype/genotype investigation in a rare disease.,10.1093/bib/bbaa434,0,0,0
7,33538187,Machine learning algorithms to predict seizure due to acute tramadol poisoning.,10.1177/0960327121991910,0,0,0
8,33538134,Machine-Learning-Based Approach to Differential Diagnosis in Tuberculous and Viral Meningitis.,10.3947/ic.2020.0104,0,0,0
9,33537313,Identification of Genome Sequences of Polyphosphate-Accumulating Organisms by Machine Learning.,10.3389/fcell.2020.626221,0,0,0
10,33537275,A Machine Learning Approach to Uncovering Hidden Utilization Patterns of Early Childhood Dental Care Among Medicaid-Insured Children.,10.3389/fpubh.2020.599187,0,0,0
11,33537063,Integrating Somatic Mutations for Breast Cancer Survival Prediction Using Machine Learning Methods.,10.3389/fgene.2020.632901,0,0,0
12,33536642,Machine learning made easy for optimizing chemical reactions.,10.1038/d41586-021-00209-6,0,0,0
13,33536499,Differentiation of recurrent glioblastoma from radiation necrosis using diffusion radiomics with machine learning model development and external validation.,10.1038/s41598-021-82467-y,0,0,0
14,33536460,Risk factors analysis of COVID-19 patients with ARDS and prediction based on machine learning.,10.1038/s41598-021-82492-x,0,0,0
15,33536291,Applications of Machine Learning to the Problem of Antimicrobial Resistance: an Emerging Model for Translational Research.,10.1128/JCM.01260-20,0,0,0
16,33535988,Differentiation of Pseudoprogression from True Progressionin Glioblastoma Patients after Standard Treatment: A Machine Learning Strategy Combinedwith Radiomics Features from T1-weighted Contrast-enhanced Imaging.,10.1186/s12880-020-00545-5,0,0,0
17,33535688,Predictors of Contemporary under-5 Child Mortality in Low- and Middle-Income Countries: A Machine Learning Approach.,10.3390/ijerph18031315,0,0,0
